Date,Hospital,Drug,Opening_Balance,Quantity_Received,Consumption,Losses_Adjustments,Closing_Balance,Days_Out_of_Stock
2021-12-01,Tatale District Hospital,Nifedipine 20mg,0,850,223,0,627,0
2022-01-01,Tatale District Hospital,Nifedipine 20mg,627,0,327,0,300,0
2022-02-01,Tatale District Hospital,Nifedipine 20mg,300,655,295,2,658,0
2022-03-01,Tatale District Hospital,Nifedipine 20mg,658,792,355,10,1085,0
2022-04-01,Tatale District Hospital,Nifedipine 20mg,1085,788,352,13,1508,0
2022-05-01,Tatale District Hospital,Nifedipine 20mg,1508,0,264,17,1227,0
2022-06-01,Tatale District Hospital,Nifedipine 20mg,1227,761,287,6,1695,0
2022-07-01,Tatale District Hospital,Nifedipine 20mg,1695,0,314,26,1355,0
2022-08-01,Tatale District Hospital,Nifedipine 20mg,1355,0,306,8,1041,0
2022-09-01,Tatale District Hospital,Nifedipine 20mg,1041,0,278,20,743,0
2022-10-01,Tatale District Hospital,Nifedipine 20mg,743,840,251,2,1330,0
2022-11-01,Tatale District Hospital,Nifedipine 20mg,1330,0,255,9,1066,0
2022-12-01,Tatale District Hospital,Nifedipine 20mg,1066,859,307,20,1598,0
2023-01-01,Tatale District Hospital,Nifedipine 20mg,1598,0,301,27,1270,0
2023-02-01,Tatale District Hospital,Nifedipine 20mg,1270,817,358,5,1724,0
2023-03-01,Tatale District Hospital,Nifedipine 20mg,1724,0,371,1,1352,0
2023-04-01,Tatale District Hospital,Nifedipine 20mg,1352,0,297,25,1030,0
2023-05-01,Tatale District Hospital,Nifedipine 20mg,1030,0,293,16,721,0
2023-06-01,Tatale District Hospital,Nifedipine 20mg,721,799,299,6,1215,0
2023-07-01,Tatale District Hospital,Nifedipine 20mg,1215,0,310,21,884,0
2023-08-01,Tatale District Hospital,Nifedipine 20mg,884,720,274,17,1313,0
2023-09-01,Tatale District Hospital,Nifedipine 20mg,1313,821,236,9,1889,0
2023-10-01,Tatale District Hospital,Nifedipine 20mg,1889,668,248,18,2291,0
2023-11-01,Tatale District Hospital,Nifedipine 20mg,2291,0,265,1,2025,0
2023-12-01,Tatale District Hospital,Nifedipine 20mg,2025,746,317,13,2441,0
2024-01-01,Tatale District Hospital,Nifedipine 20mg,2441,0,327,48,2066,0
2024-02-01,Tatale District Hospital,Nifedipine 20mg,2066,799,295,34,2536,0
2024-03-01,Tatale District Hospital,Nifedipine 20mg,2536,0,380,21,2135,0
2024-04-01,Tatale District Hospital,Nifedipine 20mg,2135,0,330,23,1782,0
2024-05-01,Tatale District Hospital,Nifedipine 20mg,1782,0,338,18,1426,0
2024-06-01,Tatale District Hospital,Nifedipine 20mg,1426,705,283,20,1828,0
2024-07-01,Tatale District Hospital,Nifedipine 20mg,1828,0,327,31,1470,0
2024-08-01,Tatale District Hospital,Nifedipine 20mg,1470,0,320,19,1131,0
2024-09-01,Tatale District Hospital,Nifedipine 20mg,1131,785,289,7,1620,0
2024-10-01,Tatale District Hospital,Nifedipine 20mg,1620,0,280,31,1309,0
2024-11-01,Tatale District Hospital,Nifedipine 20mg,1309,0,261,1,1047,0
2024-12-01,Tatale District Hospital,Nifedipine 20mg,1047,688,289,20,1426,0
2020-01-01,Tatale District Hospital,Losartan 50mg,366,0,179,5,182,0
2020-02-01,Tatale District Hospital,Losartan 50mg,182,0,176,1,5,1
2020-03-01,Tatale District Hospital,Losartan 50mg,5,483,175,0,313,0
2020-04-01,Tatale District Hospital,Losartan 50mg,313,540,162,1,690,0
2020-05-01,Tatale District Hospital,Losartan 50mg,690,0,177,13,500,0
2020-06-01,Tatale District Hospital,Losartan 50mg,500,482,161,2,819,0
2020-07-01,Tatale District Hospital,Losartan 50mg,819,0,180,14,625,0
2020-08-01,Tatale District Hospital,Losartan 50mg,625,0,154,6,465,0
2020-09-01,Tatale District Hospital,Losartan 50mg,465,0,132,7,326,0
2020-10-01,Tatale District Hospital,Losartan 50mg,326,0,130,5,191,0
2020-11-01,Tatale District Hospital,Losartan 50mg,191,0,164,1,26,0
2020-12-01,Tatale District Hospital,Losartan 50mg,26,476,166,0,336,0
2021-01-01,Tatale District Hospital,Losartan 50mg,336,0,163,2,171,0
2021-02-01,Tatale District Hospital,Losartan 50mg,171,540,165,0,546,0
2021-03-01,Tatale District Hospital,Losartan 50mg,546,0,179,3,364,0
2021-04-01,Tatale District Hospital,Losartan 50mg,364,420,196,2,586,0
2021-05-01,Tatale District Hospital,Losartan 50mg,586,0,201,2,383,0
2021-06-01,Tatale District Hospital,Losartan 50mg,383,521,180,2,722,0
2021-07-01,Tatale District Hospital,Losartan 50mg,722,0,188,3,531,0
2021-08-01,Tatale District Hospital,Losartan 50mg,531,454,149,3,833,0
2021-09-01,Tatale District Hospital,Losartan 50mg,833,513,170,10,1166,0
2021-10-01,Tatale District Hospital,Losartan 50mg,1166,448,143,8,1463,0
2021-11-01,Tatale District Hospital,Losartan 50mg,1463,0,167,19,1277,0
2021-12-01,Tatale District Hospital,Losartan 50mg,1277,452,148,1,1580,0
2022-01-01,Tatale District Hospital,Losartan 50mg,1580,0,188,21,1371,0
2022-02-01,Tatale District Hospital,Losartan 50mg,1371,506,194,14,1669,0
2022-03-01,Tatale District Hospital,Losartan 50mg,1669,0,218,21,1430,0
2022-04-01,Tatale District Hospital,Losartan 50mg,1430,461,175,28,1688,0
2022-05-01,Tatale District Hospital,Losartan 50mg,1688,0,181,18,1489,0
2022-06-01,Tatale District Hospital,Losartan 50mg,1489,525,181,24,1809,0
2022-07-01,Tatale District Hospital,Losartan 50mg,1809,0,182,0,1627,0
2022-08-01,Tatale District Hospital,Losartan 50mg,1627,436,180,18,1865,0
2022-09-01,Tatale District Hospital,Losartan 50mg,1865,405,182,7,2081,0
2022-10-01,Tatale District Hospital,Losartan 50mg,2081,0,167,15,1899,0
2022-11-01,Tatale District Hospital,Losartan 50mg,1899,0,150,29,1720,0
2022-12-01,Tatale District Hospital,Losartan 50mg,1720,457,167,25,1985,0
2023-01-01,Tatale District Hospital,Losartan 50mg,1985,0,209,10,1766,0
2023-02-01,Tatale District Hospital,Losartan 50mg,1766,0,193,1,1572,0
2023-03-01,Tatale District Hospital,Losartan 50mg,1572,0,193,14,1365,0
2023-04-01,Tatale District Hospital,Losartan 50mg,1365,0,223,7,1135,0
2023-05-01,Tatale District Hospital,Losartan 50mg,1135,0,220,12,903,0
2023-06-01,Tatale District Hospital,Losartan 50mg,903,487,222,17,1151,0
2023-07-01,Tatale District Hospital,Losartan 50mg,1151,0,210,17,924,0
2023-08-01,Tatale District Hospital,Losartan 50mg,924,0,198,1,725,0
2023-09-01,Tatale District Hospital,Losartan 50mg,725,0,188,14,523,0
2023-10-01,Tatale District Hospital,Losartan 50mg,523,517,180,7,853,0
2023-11-01,Tatale District Hospital,Losartan 50mg,853,0,171,16,666,0
2023-12-01,Tatale District Hospital,Losartan 50mg,666,486,184,0,968,0
2024-01-01,Tatale District Hospital,Losartan 50mg,968,0,184,16,768,0
2024-02-01,Tatale District Hospital,Losartan 50mg,768,0,189,4,575,0
2024-03-01,Tatale District Hospital,Losartan 50mg,575,0,183,8,384,0
2024-04-01,Tatale District Hospital,Losartan 50mg,384,0,221,5,158,0
2024-05-01,Tatale District Hospital,Losartan 50mg,158,0,233,2,0,0
2024-06-01,Tatale District Hospital,Losartan 50mg,0,539,212,0,327,0
2024-07-01,Tatale District Hospital,Losartan 50mg,327,0,192,4,131,0
2024-08-01,Tatale District Hospital,Losartan 50mg,131,416,198,1,348,0
2024-09-01,Tatale District Hospital,Losartan 50mg,348,539,188,5,694,0
2024-10-01,Tatale District Hospital,Losartan 50mg,694,0,195,9,490,0
2024-11-01,Tatale District Hospital,Losartan 50mg,490,0,192,9,289,0
2024-12-01,Tatale District Hospital,Losartan 50mg,289,540,203,3,623,0
2020-01-01,Tatale District Hospital,Atenolol 50mg,720,0,340,3,377,0
2020-02-01,Tatale District Hospital,Atenolol 50mg,377,0,409,5,0,9
2020-03-01,Tatale District Hospital,Atenolol 50mg,0,1035,425,0,610,0
2020-04-01,Tatale District Hospital,Atenolol 50mg,610,0,421,3,186,0
2020-05-01,Tatale District Hospital,Atenolol 50mg,186,0,350,3,0,4
2020-06-01,Tatale District Hospital,Atenolol 50mg,0,1169,339,0,830,0
2020-07-01,Tatale District Hospital,Atenolol 50mg,830,0,362,2,466,0
2020-08-01,Tatale District Hospital,Atenolol 50mg,466,0,309,8,149,0
2020-09-01,Tatale District Hospital,Atenolol 50mg,149,913,363,0,699,0
2020-10-01,Tatale District Hospital,Atenolol 50mg,699,0,325,13,361,0
2020-11-01,Tatale District Hospital,Atenolol 50mg,361,0,304,1,56,0
2020-12-01,Tatale District Hospital,Atenolol 50mg,56,1026,325,0,757,0
2021-01-01,Tatale District Hospital,Atenolol 50mg,757,0,407,8,342,0
2021-02-01,Tatale District Hospital,Atenolol 50mg,342,1128,383,1,1086,0
2021-03-01,Tatale District Hospital,Atenolol 50mg,1086,0,378,6,702,0
2021-04-01,Tatale District Hospital,Atenolol 50mg,702,0,380,5,317,0
2021-05-01,Tatale District Hospital,Atenolol 50mg,317,0,368,3,0,0
2021-06-01,Tatale District Hospital,Atenolol 50mg,0,1074,328,0,746,0
2021-07-01,Tatale District Hospital,Atenolol 50mg,746,0,403,13,330,0
2021-08-01,Tatale District Hospital,Atenolol 50mg,330,0,313,4,13,9
2021-09-01,Tatale District Hospital,Atenolol 50mg,13,1105,357,0,761,0
2021-10-01,Tatale District Hospital,Atenolol 50mg,761,0,373,12,376,0
2021-11-01,Tatale District Hospital,Atenolol 50mg,376,0,320,5,51,3
2021-12-01,Tatale District Hospital,Atenolol 50mg,51,880,355,0,576,0
2022-01-01,Tatale District Hospital,Atenolol 50mg,576,0,371,8,197,0
2022-02-01,Tatale District Hospital,Atenolol 50mg,197,1101,390,0,908,0
2022-03-01,Tatale District Hospital,Atenolol 50mg,908,1048,460,8,1488,0
2022-04-01,Tatale District Hospital,Atenolol 50mg,1488,0,367,17,1104,0
2022-05-01,Tatale District Hospital,Atenolol 50mg,1104,0,429,7,668,0
2022-06-01,Tatale District Hospital,Atenolol 50mg,668,893,414,3,1144,0
2022-07-01,Tatale District Hospital,Atenolol 50mg,1144,0,428,7,709,0
2022-08-01,Tatale District Hospital,Atenolol 50mg,709,1080,381,8,1400,0
2022-09-01,Tatale District Hospital,Atenolol 50mg,1400,1056,336,19,2101,0
2022-10-01,Tatale District Hospital,Atenolol 50mg,2101,1113,323,6,2885,0
2022-11-01,Tatale District Hospital,Atenolol 50mg,2885,0,321,34,2530,0
2022-12-01,Tatale District Hospital,Atenolol 50mg,2530,987,362,13,3142,0
2023-01-01,Tatale District Hospital,Atenolol 50mg,3142,0,366,48,2728,0
2023-02-01,Tatale District Hospital,Atenolol 50mg,2728,0,425,20,2283,0
2023-03-01,Tatale District Hospital,Atenolol 50mg,2283,1205,417,32,3039,0
2023-04-01,Tatale District Hospital,Atenolol 50mg,3039,977,435,6,3575,0
2023-05-01,Tatale District Hospital,Atenolol 50mg,3575,0,485,24,3066,0
2023-06-01,Tatale District Hospital,Atenolol 50mg,3066,1044,380,44,3686,0
2023-07-01,Tatale District Hospital,Atenolol 50mg,3686,0,422,3,3261,0
2023-08-01,Tatale District Hospital,Atenolol 50mg,3261,1137,395,10,3993,0
2023-09-01,Tatale District Hospital,Atenolol 50mg,3993,937,367,64,4499,0
2023-10-01,Tatale District Hospital,Atenolol 50mg,4499,870,379,43,4947,0
2023-11-01,Tatale District Hospital,Atenolol 50mg,4947,0,401,9,4537,0
2023-12-01,Tatale District Hospital,Atenolol 50mg,4537,1032,413,81,5075,0
2024-01-01,Tatale District Hospital,Atenolol 50mg,5075,0,401,74,4600,0
2024-02-01,Tatale District Hospital,Atenolol 50mg,4600,0,470,30,4100,0
2024-03-01,Tatale District Hospital,Atenolol 50mg,4100,0,411,20,3669,0
2024-04-01,Tatale District Hospital,Atenolol 50mg,3669,0,404,30,3235,0
2024-05-01,Tatale District Hospital,Atenolol 50mg,3235,0,504,50,2681,0
2024-06-01,Tatale District Hospital,Atenolol 50mg,2681,945,405,9,3212,0
2024-07-01,Tatale District Hospital,Atenolol 50mg,3212,0,377,46,2789,0
2024-08-01,Tatale District Hospital,Atenolol 50mg,2789,889,432,25,3221,0
2024-09-01,Tatale District Hospital,Atenolol 50mg,3221,0,397,24,2800,0
2024-10-01,Tatale District Hospital,Atenolol 50mg,2800,0,391,26,2383,0
2024-11-01,Tatale District Hospital,Atenolol 50mg,2383,0,339,27,2017,0
2024-12-01,Tatale District Hospital,Atenolol 50mg,2017,966,418,35,2530,0
2020-01-01,Tatale District Hospital,Glibenclamide 5mg,608,0,245,4,359,0
2020-02-01,Tatale District Hospital,Glibenclamide 5mg,359,846,257,5,943,0
2020-03-01,Tatale District Hospital,Glibenclamide 5mg,943,840,298,2,1483,0
2020-04-01,Tatale District Hospital,Glibenclamide 5mg,1483,0,324,21,1138,0
2020-05-01,Tatale District Hospital,Glibenclamide 5mg,1138,0,277,0,861,0
2020-06-01,Tatale District Hospital,Glibenclamide 5mg,861,736,304,13,1280,0
2020-07-01,Tatale District Hospital,Glibenclamide 5mg,1280,0,240,16,1024,0
2020-08-01,Tatale District Hospital,Glibenclamide 5mg,1024,0,236,8,780,0
2020-09-01,Tatale District Hospital,Glibenclamide 5mg,780,753,234,9,1290,0
2020-10-01,Tatale District Hospital,Glibenclamide 5mg,1290,725,258,6,1751,0
2020-11-01,Tatale District Hospital,Glibenclamide 5mg,1751,0,215,6,1530,0
2020-12-01,Tatale District Hospital,Glibenclamide 5mg,1530,797,257,17,2053,0
2021-01-01,Tatale District Hospital,Glibenclamide 5mg,2053,0,235,20,1798,0
2021-02-01,Tatale District Hospital,Glibenclamide 5mg,1798,0,270,33,1495,0
2021-03-01,Tatale District Hospital,Glibenclamide 5mg,1495,0,331,4,1160,0
2021-04-01,Tatale District Hospital,Glibenclamide 5mg,1160,0,334,10,816,0
2021-05-01,Tatale District Hospital,Glibenclamide 5mg,816,0,256,9,551,0
2021-06-01,Tatale District Hospital,Glibenclamide 5mg,551,684,265,1,969,0
2021-07-01,Tatale District Hospital,Glibenclamide 5mg,969,0,249,10,710,0
2021-08-01,Tatale District Hospital,Glibenclamide 5mg,710,0,251,3,456,0
2021-09-01,Tatale District Hospital,Glibenclamide 5mg,456,662,243,1,874,0
2021-10-01,Tatale District Hospital,Glibenclamide 5mg,874,0,278,12,584,0
2021-11-01,Tatale District Hospital,Glibenclamide 5mg,584,0,231,2,351,0
2021-12-01,Tatale District Hospital,Glibenclamide 5mg,351,855,285,5,916,0
2022-01-01,Tatale District Hospital,Glibenclamide 5mg,916,0,312,2,602,0
2022-02-01,Tatale District Hospital,Glibenclamide 5mg,602,706,292,8,1008,0
2022-03-01,Tatale District Hospital,Glibenclamide 5mg,1008,782,269,13,1508,0
2022-04-01,Tatale District Hospital,Glibenclamide 5mg,1508,872,317,28,2035,0
2022-05-01,Tatale District Hospital,Glibenclamide 5mg,2035,0,292,8,1735,0
2022-06-01,Tatale District Hospital,Glibenclamide 5mg,1735,802,276,16,2245,0
2022-07-01,Tatale District Hospital,Glibenclamide 5mg,2245,0,271,40,1934,0
2022-08-01,Tatale District Hospital,Glibenclamide 5mg,1934,912,284,7,2555,0
2022-09-01,Tatale District Hospital,Glibenclamide 5mg,2555,872,228,38,3161,0
2022-10-01,Tatale District Hospital,Glibenclamide 5mg,3161,737,289,44,3565,0
2022-11-01,Tatale District Hospital,Glibenclamide 5mg,3565,0,294,30,3241,0
2022-12-01,Tatale District Hospital,Glibenclamide 5mg,3241,681,278,14,3630,0
2023-01-01,Tatale District Hospital,Glibenclamide 5mg,3630,0,261,39,3330,0
2023-02-01,Tatale District Hospital,Glibenclamide 5mg,3330,863,329,3,3861,0
2023-03-01,Tatale District Hospital,Glibenclamide 5mg,3861,0,324,33,3504,0
2023-04-01,Tatale District Hospital,Glibenclamide 5mg,3504,0,346,34,3124,0
2023-05-01,Tatale District Hospital,Glibenclamide 5mg,3124,0,321,14,2789,0
2023-06-01,Tatale District Hospital,Glibenclamide 5mg,2789,886,290,10,3375,0
2023-07-01,Tatale District Hospital,Glibenclamide 5mg,3375,0,313,22,3040,0
2023-08-01,Tatale District Hospital,Glibenclamide 5mg,3040,734,269,55,3450,0
2023-09-01,Tatale District Hospital,Glibenclamide 5mg,3450,0,282,4,3164,0
2023-10-01,Tatale District Hospital,Glibenclamide 5mg,3164,797,273,21,3667,0
2023-11-01,Tatale District Hospital,Glibenclamide 5mg,3667,0,298,5,3364,0
2023-12-01,Tatale District Hospital,Glibenclamide 5mg,3364,766,263,52,3815,0
2024-01-01,Tatale District Hospital,Glibenclamide 5mg,3815,0,286,40,3489,0
2024-02-01,Tatale District Hospital,Glibenclamide 5mg,3489,700,361,60,3768,0
2024-03-01,Tatale District Hospital,Glibenclamide 5mg,3768,0,349,18,3401,0
2024-04-01,Tatale District Hospital,Glibenclamide 5mg,3401,0,363,51,2987,0
2024-05-01,Tatale District Hospital,Glibenclamide 5mg,2987,0,352,5,2630,0
2024-06-01,Tatale District Hospital,Glibenclamide 5mg,2630,751,317,6,3058,0
2024-07-01,Tatale District Hospital,Glibenclamide 5mg,3058,0,354,44,2660,0
2024-08-01,Tatale District Hospital,Glibenclamide 5mg,2660,0,291,9,2360,0
2024-09-01,Tatale District Hospital,Glibenclamide 5mg,2360,0,318,32,2010,0
2024-10-01,Tatale District Hospital,Glibenclamide 5mg,2010,0,288,12,1710,0
2024-11-01,Tatale District Hospital,Glibenclamide 5mg,1710,0,298,14,1398,0
2024-12-01,Tatale District Hospital,Glibenclamide 5mg,1398,856,268,14,1972,0
2020-01-01,Tatale District Hospital,Soluble Aspirin 75mg,484,0,186,7,291,0
2020-02-01,Tatale District Hospital,Soluble Aspirin 75mg,291,0,228,2,61,0
2020-03-01,Tatale District Hospital,Soluble Aspirin 75mg,61,0,189,1,0,14
2020-04-01,Tatale District Hospital,Soluble Aspirin 75mg,0,0,234,0,0,7
2020-05-01,Tatale District Hospital,Soluble Aspirin 75mg,0,0,191,0,0,0
2020-06-01,Tatale District Hospital,Soluble Aspirin 75mg,0,577,212,0,365,0
2020-07-01,Tatale District Hospital,Soluble Aspirin 75mg,365,0,206,5,154,0
2020-08-01,Tatale District Hospital,Soluble Aspirin 75mg,154,0,159,1,0,0
2020-09-01,Tatale District Hospital,Soluble Aspirin 75mg,0,0,179,0,0,14
2020-10-01,Tatale District Hospital,Soluble Aspirin 75mg,0,629,162,0,467,0
2020-11-01,Tatale District Hospital,Soluble Aspirin 75mg,467,0,202,5,260,0
2020-12-01,Tatale District Hospital,Soluble Aspirin 75mg,260,626,193,2,691,0
2021-01-01,Tatale District Hospital,Soluble Aspirin 75mg,691,0,183,3,505,0
2021-02-01,Tatale District Hospital,Soluble Aspirin 75mg,505,679,243,9,932,0
2021-03-01,Tatale District Hospital,Soluble Aspirin 75mg,932,569,240,12,1249,0
2021-04-01,Tatale District Hospital,Soluble Aspirin 75mg,1249,493,242,13,1487,0
2021-05-01,Tatale District Hospital,Soluble Aspirin 75mg,1487,0,214,10,1263,0
2021-06-01,Tatale District Hospital,Soluble Aspirin 75mg,1263,654,221,23,1673,0
2021-07-01,Tatale District Hospital,Soluble Aspirin 75mg,1673,0,187,5,1481,0
2021-08-01,Tatale District Hospital,Soluble Aspirin 75mg,1481,0,208,17,1256,0
2021-09-01,Tatale District Hospital,Soluble Aspirin 75mg,1256,0,200,19,1037,0
2021-10-01,Tatale District Hospital,Soluble Aspirin 75mg,1037,666,191,4,1508,0
2021-11-01,Tatale District Hospital,Soluble Aspirin 75mg,1508,0,178,24,1306,0
2021-12-01,Tatale District Hospital,Soluble Aspirin 75mg,1306,515,203,4,1614,0
2022-01-01,Tatale District Hospital,Soluble Aspirin 75mg,1614,0,210,26,1378,0
2022-02-01,Tatale District Hospital,Soluble Aspirin 75mg,1378,520,259,10,1629,0
2022-03-01,Tatale District Hospital,Soluble Aspirin 75mg,1629,0,226,10,1393,0
2022-04-01,Tatale District Hospital,Soluble Aspirin 75mg,1393,616,241,4,1764,0
2022-05-01,Tatale District Hospital,Soluble Aspirin 75mg,1764,0,201,29,1534,0
2022-06-01,Tatale District Hospital,Soluble Aspirin 75mg,1534,664,213,4,1981,0
2022-07-01,Tatale District Hospital,Soluble Aspirin 75mg,1981,0,191,27,1763,0
2022-08-01,Tatale District Hospital,Soluble Aspirin 75mg,1763,0,211,14,1538,0
2022-09-01,Tatale District Hospital,Soluble Aspirin 75mg,1538,0,218,3,1317,0
2022-10-01,Tatale District Hospital,Soluble Aspirin 75mg,1317,590,193,12,1702,0
2022-11-01,Tatale District Hospital,Soluble Aspirin 75mg,1702,0,198,33,1471,0
2022-12-01,Tatale District Hospital,Soluble Aspirin 75mg,1471,496,179,11,1777,0
2023-01-01,Tatale District Hospital,Soluble Aspirin 75mg,1777,0,246,7,1524,0
2023-02-01,Tatale District Hospital,Soluble Aspirin 75mg,1524,0,244,24,1256,0
2023-03-01,Tatale District Hospital,Soluble Aspirin 75mg,1256,0,234,3,1019,0
2023-04-01,Tatale District Hospital,Soluble Aspirin 75mg,1019,580,257,18,1324,0
2023-05-01,Tatale District Hospital,Soluble Aspirin 75mg,1324,0,237,14,1073,0
2023-06-01,Tatale District Hospital,Soluble Aspirin 75mg,1073,675,257,11,1480,0
2023-07-01,Tatale District Hospital,Soluble Aspirin 75mg,1480,0,247,3,1230,0
2023-08-01,Tatale District Hospital,Soluble Aspirin 75mg,1230,0,183,12,1035,0
2023-09-01,Tatale District Hospital,Soluble Aspirin 75mg,1035,0,179,15,841,0
2023-10-01,Tatale District Hospital,Soluble Aspirin 75mg,841,497,221,4,1113,0
2023-11-01,Tatale District Hospital,Soluble Aspirin 75mg,1113,0,183,17,913,0
2023-12-01,Tatale District Hospital,Soluble Aspirin 75mg,913,516,227,8,1194,0
2024-01-01,Tatale District Hospital,Soluble Aspirin 75mg,1194,0,216,21,957,0
2024-02-01,Tatale District Hospital,Soluble Aspirin 75mg,957,509,263,5,1198,0
2024-03-01,Tatale District Hospital,Soluble Aspirin 75mg,1198,564,238,14,1510,0
2024-04-01,Tatale District Hospital,Soluble Aspirin 75mg,1510,567,274,21,1782,0
2024-05-01,Tatale District Hospital,Soluble Aspirin 75mg,1782,0,240,12,1530,0
2024-06-01,Tatale District Hospital,Soluble Aspirin 75mg,1530,533,276,23,1764,0
2024-07-01,Tatale District Hospital,Soluble Aspirin 75mg,1764,0,262,9,1493,0
2024-08-01,Tatale District Hospital,Soluble Aspirin 75mg,1493,0,215,6,1272,0
2024-09-01,Tatale District Hospital,Soluble Aspirin 75mg,1272,0,191,9,1072,0
2024-10-01,Tatale District Hospital,Soluble Aspirin 75mg,1072,0,227,8,837,0
2024-11-01,Tatale District Hospital,Soluble Aspirin 75mg,837,0,206,10,621,0
2024-12-01,Tatale District Hospital,Soluble Aspirin 75mg,621,641,252,4,1006,0
2020-01-01,Tatale District Hospital,Methyldopa 250mg,475,0,154,1,320,0
2020-02-01,Tatale District Hospital,Methyldopa 250mg,320,547,176,0,691,0
2020-03-01,Tatale District Hospital,Methyldopa 250mg,691,443,213,11,910,0
2020-04-01,Tatale District Hospital,Methyldopa 250mg,910,521,208,5,1218,0
2020-05-01,Tatale District Hospital,Methyldopa 250mg,1218,0,184,10,1024,0
2020-06-01,Tatale District Hospital,Methyldopa 250mg,1024,571,162,8,1425,0
2020-07-01,Tatale District Hospital,Methyldopa 250mg,1425,0,182,6,1237,0
2020-08-01,Tatale District Hospital,Methyldopa 250mg,1237,0,180,10,1047,0
2020-09-01,Tatale District Hospital,Methyldopa 250mg,1047,0,165,5,877,0
2020-10-01,Tatale District Hospital,Methyldopa 250mg,877,0,139,3,735,0
2020-11-01,Tatale District Hospital,Methyldopa 250mg,735,0,137,6,592,0
2020-12-01,Tatale District Hospital,Methyldopa 250mg,592,452,155,4,885,0
2021-01-01,Tatale District Hospital,Methyldopa 250mg,885,0,179,8,698,0
2021-02-01,Tatale District Hospital,Methyldopa 250mg,698,576,220,3,1051,0
2021-03-01,Tatale District Hospital,Methyldopa 250mg,1051,502,179,12,1362,0
2021-04-01,Tatale District Hospital,Methyldopa 250mg,1362,456,182,11,1625,0
2021-05-01,Tatale District Hospital,Methyldopa 250mg,1625,0,179,24,1422,0
2021-06-01,Tatale District Hospital,Methyldopa 250mg,1422,607,208,17,1804,0
2021-07-01,Tatale District Hospital,Methyldopa 250mg,1804,0,183,20,1601,0
2021-08-01,Tatale District Hospital,Methyldopa 250mg,1601,596,179,3,2015,0
2021-09-01,Tatale District Hospital,Methyldopa 250mg,2015,538,175,5,2373,0
2021-10-01,Tatale District Hospital,Methyldopa 250mg,2373,476,177,26,2646,0
2021-11-01,Tatale District Hospital,Methyldopa 250mg,2646,0,171,40,2435,0
2021-12-01,Tatale District Hospital,Methyldopa 250mg,2435,474,163,39,2707,0
2022-01-01,Tatale District Hospital,Methyldopa 250mg,2707,0,222,22,2463,0
2022-02-01,Tatale District Hospital,Methyldopa 250mg,2463,0,175,13,2275,0
2022-03-01,Tatale District Hospital,Methyldopa 250mg,2275,580,233,40,2582,0
2022-04-01,Tatale District Hospital,Methyldopa 250mg,2582,540,234,38,2850,0
2022-05-01,Tatale District Hospital,Methyldopa 250mg,2850,0,200,28,2622,0
2022-06-01,Tatale District Hospital,Methyldopa 250mg,2622,521,192,23,2928,0
2022-07-01,Tatale District Hospital,Methyldopa 250mg,2928,0,186,17,2725,0
2022-08-01,Tatale District Hospital,Methyldopa 250mg,2725,453,157,10,3011,0
2022-09-01,Tatale District Hospital,Methyldopa 250mg,3011,578,191,31,3367,0
2022-10-01,Tatale District Hospital,Methyldopa 250mg,3367,499,162,66,3638,0
2022-11-01,Tatale District Hospital,Methyldopa 250mg,3638,0,173,2,3463,0
2022-12-01,Tatale District Hospital,Methyldopa 250mg,3463,607,193,50,3827,0
2023-01-01,Tatale District Hospital,Methyldopa 250mg,3827,0,198,11,3618,0
2023-02-01,Tatale District Hospital,Methyldopa 250mg,3618,582,193,43,3964,0
2023-03-01,Tatale District Hospital,Methyldopa 250mg,3964,0,209,35,3720,0
2023-04-01,Tatale District Hospital,Methyldopa 250mg,3720,0,197,38,3485,0
2023-05-01,Tatale District Hospital,Methyldopa 250mg,3485,0,212,64,3209,0
2023-06-01,Tatale District Hospital,Methyldopa 250mg,3209,484,193,22,3478,0
2023-07-01,Tatale District Hospital,Methyldopa 250mg,3478,0,230,28,3220,0
2023-08-01,Tatale District Hospital,Methyldopa 250mg,3220,445,178,47,3440,0
2023-09-01,Tatale District Hospital,Methyldopa 250mg,3440,0,202,37,3201,0
2023-10-01,Tatale District Hospital,Methyldopa 250mg,3201,483,158,3,3523,0
2023-11-01,Tatale District Hospital,Methyldopa 250mg,3523,0,198,6,3319,0
2023-12-01,Tatale District Hospital,Methyldopa 250mg,3319,446,195,29,3541,0
2024-01-01,Tatale District Hospital,Methyldopa 250mg,3541,0,240,2,3299,0
2024-02-01,Tatale District Hospital,Methyldopa 250mg,3299,607,214,63,3629,0
2024-03-01,Tatale District Hospital,Methyldopa 250mg,3629,0,259,41,3329,0
2024-04-01,Tatale District Hospital,Methyldopa 250mg,3329,0,219,37,3073,0
2024-05-01,Tatale District Hospital,Methyldopa 250mg,3073,0,241,18,2814,0
2024-06-01,Tatale District Hospital,Methyldopa 250mg,2814,447,210,42,3009,0
2024-07-01,Tatale District Hospital,Methyldopa 250mg,3009,0,213,20,2776,0
2024-08-01,Tatale District Hospital,Methyldopa 250mg,2776,567,173,44,3126,0
2024-09-01,Tatale District Hospital,Methyldopa 250mg,3126,467,216,27,3350,0
2024-10-01,Tatale District Hospital,Methyldopa 250mg,3350,482,194,19,3619,0
